ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
ABW,Aruba,total,Sanitation,2000,97.9731,86961.90665,At least basic
ABW,Aruba,total,Drinking water,2000,95.23354,84530.23908,At least basic
ABW,Aruba,total,Sanitation,2000,0,0,Limited service
ABW,Aruba,total,Drinking water,2000,0,0,Limited service
ABW,Aruba,total,Hygiene,2000,0.17,150.8937,No handwashing facility
ABW,Aruba,total,Sanitation,2000,1.22275,1085.32547,Open defecation
ABW,Aruba,total,Drinking water,2000,0,0,Surface water
ABW,Aruba,total,Sanitation,2000,0.80415,713.76788,Unimproved
ABW,Aruba,total,Drinking water,2000,4.76646,4230.76092,Unimproved
ABW,Aruba,total,Sanitation,2001,98.01251,88510.19556,At least basic
ABW,Aruba,total,Drinking water,2001,95.35906,86113.99568,At least basic
ABW,Aruba,total,Sanitation,2001,0,0,Limited service
ABW,Aruba,total,Drinking water,2001,0,0,Limited service
ABW,Aruba,total,Hygiene,2001,0.17,153.5185,No handwashing facility
ABW,Aruba,total,Sanitation,2001,1.20616,1089.22317,Open defecation
ABW,Aruba,total,Drinking water,2001,0,0,Surface water
ABW,Aruba,total,Sanitation,2001,0.78133,705.58127,Unimproved
ABW,Aruba,total,Drinking water,2001,4.64094,4191.00432,Unimproved
ABW,Aruba,total,Sanitation,2002,98.05191,89598.8573,At least basic
ABW,Aruba,total,Drinking water,2002,95.48458,87252.85083,At least basic
ABW,Aruba,total,Sanitation,2002,0,0,Limited service
ABW,Aruba,total,Drinking water,2002,0,0,Limited service
ABW,Aruba,total,Hygiene,2002,0.17,155.3443,No handwashing facility
ABW,Aruba,total,Sanitation,2002,1.18957,1087.01758,Open defecation
ABW,Aruba,total,Drinking water,2002,0,0,Surface water
ABW,Aruba,total,Sanitation,2002,0.75852,693.12512,Unimproved
ABW,Aruba,total,Drinking water,2002,4.51542,4126.14917,Unimproved
ABW,Aruba,total,Sanitation,2003,98.09132,90548.09485,At least basic
ABW,Aruba,total,Drinking water,2003,95.6101,88257.67971,At least basic
ABW,Aruba,total,Sanitation,2003,0,0,Limited service
ABW,Aruba,total,Drinking water,2003,0,0,Limited service
ABW,Aruba,total,Hygiene,2003,0.17,156.927,No handwashing facility
ABW,Aruba,total,Sanitation,2003,1.17298,1082.77829,Open defecation
ABW,Aruba,total,Drinking water,2003,0,0,Surface water
ABW,Aruba,total,Sanitation,2003,0.7357,679.12686,Unimproved
ABW,Aruba,total,Drinking water,2003,4.3899,4052.32029,Unimproved
ABW,Aruba,total,Sanitation,2004,98.13072,91470.58952,At least basic
ABW,Aruba,total,Drinking water,2004,95.73562,89238.0398,At least basic
ABW,Aruba,total,Sanitation,2004,0,0,Limited service
ABW,Aruba,total,Drinking water,2004,0,0,Limited service
ABW,Aruba,total,Hygiene,2004,0.17,158.4621,No handwashing facility
ABW,Aruba,total,Sanitation,2004,1.15639,1077.9063,Open defecation
ABW,Aruba,total,Drinking water,2004,0,0,Surface water
ABW,Aruba,total,Sanitation,2004,0.71289,664.50419,Unimproved
ABW,Aruba,total,Drinking water,2004,4.26438,3974.9602,Unimproved
ABW,Aruba,total,Sanitation,2005,98.17013,92505.70977,At least basic
ABW,Aruba,total,Drinking water,2005,95.86114,90329.94847,At least basic
ABW,Aruba,total,Sanitation,2005,0,0,Limited service
ABW,Aruba,total,Drinking water,2005,0,0,Limited service
ABW,Aruba,total,Hygiene,2005,0.17,160.191,No handwashing facility
ABW,Aruba,total,Sanitation,2005,1.1398,1074.03406,Open defecation
ABW,Aruba,total,Drinking water,2005,0,0,Surface water
ABW,Aruba,total,Sanitation,2005,0.69007,650.25617,Unimproved
ABW,Aruba,total,Drinking water,2005,4.13886,3900.05153,Unimproved
ABW,Aruba,total,Sanitation,2006,98.20953,93684.03533,At least basic
ABW,Aruba,total,Drinking water,2006,95.98666,91563.59087,At least basic
ABW,Aruba,total,Sanitation,2006,0,0,Limited service
ABW,Aruba,total,Drinking water,2006,0,0,Limited service
ABW,Aruba,total,Hygiene,2006,0.17,162.1664,No handwashing facility
ABW,Aruba,total,Sanitation,2006,1.12321,1071.45305,Open defecation
ABW,Aruba,total,Drinking water,2006,0,0,Surface water
ABW,Aruba,total,Sanitation,2006,0.66726,636.51162,Unimproved
ABW,Aruba,total,Drinking water,2006,4.01334,3828.40913,Unimproved
ABW,Aruba,total,Sanitation,2007,98.24893,94895.6988,At least basic
ABW,Aruba,total,Drinking water,2007,96.11218,92831.86738,At least basic
ABW,Aruba,total,Sanitation,2007,0,0,Limited service
ABW,Aruba,total,Drinking water,2007,0,0,Limited service
ABW,Aruba,total,Hygiene,2007,0.17,164.1979,No handwashing facility
ABW,Aruba,total,Sanitation,2007,1.10662,1068.85166,Open defecation
ABW,Aruba,total,Drinking water,2007,0,0,Surface water
ABW,Aruba,total,Sanitation,2007,0.64444,622.44954,Unimproved
ABW,Aruba,total,Drinking water,2007,3.88782,3755.13262,Unimproved
ABW,Aruba,total,Sanitation,2008,98.28834,96130.91035,At least basic
ABW,Aruba,total,Drinking water,2008,96.2377,94125.27848,At least basic
ABW,Aruba,total,Sanitation,2008,0,0,Limited service
ABW,Aruba,total,Drinking water,2008,0,0,Limited service
ABW,Aruba,total,Hygiene,2008,0.17,166.2685,No handwashing facility
ABW,Aruba,total,Sanitation,2008,1.09003,1066.10449,Open defecation
ABW,Aruba,total,Drinking water,2008,0,0,Surface water
ABW,Aruba,total,Sanitation,2008,0.62163,607.98517,Unimproved
ABW,Aruba,total,Drinking water,2008,3.7623,3679.72152,Unimproved
ABW,Aruba,total,Sanitation,2009,98.32774,97369.04835,At least basic
ABW,Aruba,total,Drinking water,2009,96.36322,95423.67451,At least basic
ABW,Aruba,total,Sanitation,2009,0,0,Limited service
ABW,Aruba,total,Drinking water,2009,0,0,Limited service
ABW,Aruba,total,Hygiene,2009,0.17,168.3425,No handwashing facility
ABW,Aruba,total,Sanitation,2009,1.07344,1062.97465,Open defecation
ABW,Aruba,total,Drinking water,2009,0,0,Surface water
ABW,Aruba,total,Sanitation,2009,0.59882,592.97701,Unimproved
ABW,Aruba,total,Drinking water,2009,3.63678,3601.32549,Unimproved
AFG,Afghanistan,total,Sanitation,2000,12.16618,2449092.13231,Basic service
AFG,Afghanistan,rural,Sanitation,2000,9.29056,1457312.53957,Basic service
AFG,Afghanistan,urban,Sanitation,2000,22.3154,991779.51759,Basic service
